source,text,date
product,"The battery life is incredible! Lasts all day.",2023-05-15
video,"This tutorial was confusing and hard to follow.",2023-06-02
product,"Average performance, but the design is sleek.",2023-05-22
video,"The jokes fell flat and the pacing was off.",2023-06-10
product,"Stopped working after a week. Very disappointed.",2023-05-30
video,"Best explanation I've seen on this topic!",2023-06-05
product,"Good customer service resolved my issue quickly.",2023-06-01
video,"Too many ads ruined the viewing experience.",2023-06-08
product,"Perfect size and weight for daily use.",2023-06-12
video,"The host's enthusiasm makes this so enjoyable!",2023-06-15